step,mloss,gloss,loss
100.0,0.3703,1.0312,1.4015
200.0,0.3566,0.8917,1.2483
300.0,0.3517,0.806,1.1577000000000002
400.0,0.3561,0.7231,1.0792
500.0,0.3461,0.6406,0.9866999999999999
600.0,0.3539,0.5621,0.916
700.0,0.3586,0.4988,0.8573999999999999
800.0,0.3602,0.4506,0.8108
900.0,0.3591,0.4133,0.7724
1000.0,0.3549,0.389,0.7439
1100.0,0.3447,0.3728,0.7175
1200.0,0.3406,0.3654,0.706
1300.0,0.3436,0.3587,0.7023
1400.0,0.3513,0.3557,0.7070000000000001
1500.0,0.3455,0.3529,0.6983999999999999
1600.0,0.3483,0.3505,0.6988
1700.0,0.3323,0.3471,0.6794
1800.0,0.3445,0.3457,0.6901999999999999
1900.0,0.3581,0.3445,0.7025999999999999
2000.0,0.3432,0.3417,0.6849000000000001
2100.0,0.3478,0.3366,0.6844
2200.0,0.3651,0.3333,0.6983999999999999
2300.0,0.3969,0.332,0.7289
2400.0,0.3509,0.3284,0.6793
2500.0,0.3395,0.3221,0.6616
2600.0,0.3414,0.3161,0.6575
2700.0,0.3508,0.3118,0.6626000000000001
2800.0,0.3442,0.3048,0.649
2900.0,0.3685,0.3003,0.6688000000000001
3000.0,0.344,0.2937,0.6376999999999999
3100.0,0.3602,0.2871,0.6473
3200.0,0.3538,0.2826,0.6364000000000001
3300.0,0.3448,0.2808,0.6255999999999999
3400.0,0.3349,0.2739,0.6088
3500.0,0.3592,0.2713,0.6305000000000001
3600.0,0.3595,0.27,0.6295
3700.0,0.3399,0.2663,0.6062
3800.0,0.3603,0.2637,0.624
3900.0,0.3597,0.2628,0.6225
4000.0,0.3314,0.2584,0.5898
4100.0,0.3467,0.2587,0.6053999999999999
4200.0,0.3243,0.2571,0.5813999999999999
4300.0,0.3226,0.2551,0.5777
4400.0,0.3545,0.2527,0.6072
4500.0,0.3471,0.2503,0.5974
4600.0,0.3457,0.2509,0.5966
4700.0,0.3423,0.249,0.5912999999999999
4800.0,0.3451,0.2484,0.5935
4900.0,0.3475,0.2485,0.596
5000.0,0.3554,0.2467,0.6021
5100.0,0.375,0.2482,0.6232
5200.0,0.3323,0.2457,0.578
5300.0,0.3442,0.2424,0.5866
5400.0,0.3378,0.2419,0.5797
5500.0,0.3464,0.242,0.5884
5600.0,0.3558,0.2417,0.5975
5700.0,0.3453,0.2409,0.5862
5800.0,0.382,0.2435,0.6255
5900.0,0.3364,0.2396,0.576
6000.0,0.3302,0.236,0.5662
6100.0,0.3521,0.2385,0.5906
6200.0,0.352,0.2389,0.5909
6300.0,0.3237,0.236,0.5597
6400.0,0.3613,0.2358,0.5971
6500.0,0.3467,0.2356,0.5823
6600.0,0.3399,0.2349,0.5748
6700.0,0.3385,0.2334,0.5719000000000001
6800.0,0.3332,0.2346,0.5678
6900.0,0.342,0.2335,0.5755
7000.0,0.3477,0.232,0.5797
7100.0,0.3234,0.2309,0.5543
7200.0,0.3483,0.23,0.5783
7300.0,0.3336,0.2323,0.5659000000000001
7400.0,0.3344,0.2314,0.5658
7500.0,0.3321,0.2304,0.5625
7600.0,0.3602,0.2297,0.5899
7700.0,0.3639,0.2291,0.593
7800.0,0.3444,0.2269,0.5712999999999999
7900.0,0.3316,0.228,0.5596
8000.0,0.3394,0.2264,0.5658
8100.0,0.3452,0.226,0.5712
8200.0,0.3333,0.2249,0.5582
8300.0,0.3365,0.2266,0.5631
8400.0,0.3155,0.2251,0.5406
8500.0,0.3392,0.2257,0.5649
8600.0,0.322,0.2243,0.5463
8700.0,0.3454,0.2241,0.5695
8800.0,0.3353,0.2219,0.5571999999999999
8900.0,0.3285,0.2232,0.5517000000000001
9000.0,0.3296,0.222,0.5516
9100.0,0.3588,0.2218,0.5806
9200.0,0.3294,0.2219,0.5513
9300.0,0.3231,0.2199,0.543
9400.0,0.36,0.2231,0.5831
9500.0,0.327,0.2217,0.5487
9600.0,0.3334,0.2203,0.5537
9700.0,0.3429,0.2213,0.5642
9800.0,0.3352,0.22,0.5552
9900.0,0.3197,0.2213,0.5409999999999999
10000.0,0.321,0.2197,0.5407
10100.0,0.3373,0.2198,0.5570999999999999
10200.0,0.3301,0.2185,0.5486
10300.0,0.3399,0.2192,0.5590999999999999
10400.0,0.3298,0.2167,0.5465
10500.0,0.3293,0.2171,0.5464
10600.0,0.3389,0.2184,0.5573
10700.0,0.3319,0.2177,0.5496
10800.0,0.3341,0.2165,0.5506
10900.0,0.3405,0.2159,0.5564
11000.0,0.3257,0.2163,0.542
11100.0,0.3132,0.2156,0.5287999999999999
11200.0,0.339,0.2159,0.5549000000000001
11300.0,0.3567,0.214,0.5707
11400.0,0.3395,0.216,0.5555
11500.0,0.3341,0.2147,0.5488
11600.0,0.3107,0.2153,0.526
11700.0,0.3286,0.2139,0.5425
11800.0,0.3257,0.2146,0.5403
11900.0,0.3431,0.2164,0.5595
12000.0,0.3388,0.2136,0.5524
12100.0,0.3529,0.2139,0.5668
12200.0,0.3209,0.2133,0.5342
12300.0,0.3373,0.2132,0.5505
12400.0,0.3133,0.2113,0.5246
12500.0,0.3299,0.2143,0.5442
12600.0,0.3384,0.2139,0.5523
12700.0,0.3267,0.2132,0.5399
12800.0,0.3283,0.2125,0.5408
12900.0,0.3252,0.2126,0.5378000000000001
13000.0,0.352,0.2132,0.5651999999999999
13100.0,0.3316,0.2125,0.5441
13200.0,0.3274,0.2122,0.5396000000000001
13300.0,0.3246,0.2098,0.5344
13400.0,0.3185,0.21,0.5285
13500.0,0.3303,0.2101,0.5404
13600.0,0.3348,0.2111,0.5459
13700.0,0.3303,0.2107,0.5409999999999999
13800.0,0.341,0.2096,0.5506
13900.0,0.3325,0.2105,0.543
14000.0,0.3441,0.2102,0.5543
14100.0,0.3362,0.2119,0.5481
14200.0,0.324,0.2086,0.5326
14300.0,0.3154,0.2105,0.5259
14400.0,0.3297,0.2089,0.5386
14500.0,0.3566,0.2085,0.5650999999999999
14600.0,0.3323,0.2105,0.5428
14700.0,0.3546,0.21,0.5646
14800.0,0.3359,0.2105,0.5464
14900.0,0.3359,0.2072,0.5430999999999999
15000.0,0.3263,0.2094,0.5357
15100.0,0.3404,0.2091,0.5495
15200.0,0.3673,0.208,0.5753
15300.0,0.3305,0.2095,0.54
15400.0,0.3416,0.2076,0.5492
15500.0,0.3212,0.2068,0.528
15600.0,0.3147,0.206,0.5206999999999999
15700.0,0.332,0.2072,0.5392
15800.0,0.3111,0.2089,0.52
15900.0,0.3303,0.2086,0.5388999999999999
16000.0,0.3276,0.2077,0.5353
16100.0,0.3129,0.207,0.5199
16200.0,0.3363,0.2059,0.5422
16300.0,0.3298,0.2081,0.5379
16400.0,0.3287,0.2064,0.5351
16500.0,0.3199,0.2052,0.5251
16600.0,0.3135,0.205,0.5185
16700.0,0.3469,0.2079,0.5548
16800.0,0.3411,0.2069,0.548
16900.0,0.336,0.2059,0.5419
17000.0,0.3399,0.207,0.5468999999999999
17100.0,0.3283,0.2063,0.5346
17200.0,0.3404,0.2061,0.5465
17300.0,0.3173,0.2073,0.5246000000000001
17400.0,0.3371,0.2055,0.5426
17500.0,0.3027,0.2064,0.5091
17600.0,0.3211,0.2058,0.5269
17700.0,0.3306,0.2058,0.5364
17800.0,0.3248,0.207,0.5317999999999999
17900.0,0.3107,0.2046,0.5153
18000.0,0.3218,0.2066,0.5284
18100.0,0.3379,0.2051,0.5429999999999999
18200.0,0.3297,0.2048,0.5345
18300.0,0.3268,0.2069,0.5337
18400.0,0.3161,0.206,0.5221
18500.0,0.3286,0.2054,0.534
18600.0,0.3194,0.2044,0.5238
18700.0,0.3366,0.2065,0.5431
18800.0,0.3183,0.2047,0.523
18900.0,0.3233,0.2061,0.5294
19000.0,0.3253,0.2054,0.5307
19100.0,0.3414,0.2056,0.5469999999999999
19200.0,0.3276,0.206,0.5336
19300.0,0.3187,0.2038,0.5225
19400.0,0.3403,0.2048,0.5451
19500.0,0.3221,0.2053,0.5274
19600.0,0.3299,0.2054,0.5353
19700.0,0.3255,0.2053,0.5308
19800.0,0.3224,0.2042,0.5266
19900.0,0.3195,0.2055,0.525
20000.0,0.3166,0.2074,0.524
